bin,bin_lower,bin_upper,n,accuracy,confidence,gap
0,0.0,0.06666666666666667,0,0.0,0.0,0.0
1,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.0
2,0.13333333333333333,0.2,0,0.0,0.0,0.0
3,0.2,0.26666666666666666,0,0.0,0.0,0.0
4,0.26666666666666666,0.3333333333333333,0,0.0,0.0,0.0
5,0.3333333333333333,0.4,3,1.0,0.37661869327227276,0.6233813067277272
6,0.4,0.4666666666666667,1,1.0,0.44635629653930664,0.5536437034606934
7,0.4666666666666667,0.5333333333333333,2,0.5,0.487013503909111,0.012986496090888977
8,0.5333333333333333,0.6,3,0.3333333333333333,0.5625704924265543,0.229237159093221
9,0.6,0.6666666666666666,2,1.0,0.6456241607666016,0.35437583923339844
10,0.6666666666666666,0.7333333333333333,6,0.6666666666666666,0.6994334359963735,0.0327667693297069
11,0.7333333333333333,0.8,8,0.875,0.7734160348773003,0.10158396512269974
12,0.8,0.8666666666666667,21,1.0,0.8430063440686181,0.15699365593138193
13,0.8666666666666667,0.9333333333333333,346,1.0,0.911332156100025,0.08866784389997495
14,0.9333333333333333,1.0,3,1.0,0.9356991847356161,0.06430081526438391
